"year","SIDO","발전량_MWh","소비량_MWh","전자율"
2022,"서울",5197772.36139618,48797456.38,10.6517280755776
2022,"부산",47264799.1431694,21497461.87,219.862230383244
2022,"대구",2854207.43151421,16042131.25,17.7919466374782
2022,"인천",56210566.3266834,25511463.33,220.334543728752
2022,"광주",1312151.40594035,9118524.76,14.389952766223
2022,"대전",626366.316814994,10018698.39,6.2519729852352
2022,"울산",34150700.7137114,32925088.24,103.722427301569
2022,"세종",3477113.8333805,3182654.17,109.252015696713
2022,"경기",90601188.0499225,140556330.47,64.458987899702
2022,"강원",57078863.4408796,17328641.85,329.390288834895
2022,"충북",6489459.65441986,29417491.87,22.0598672487025
2022,"충남",114579250.934943,50268686.27,227.933649030575
2022,"전북",27448236.5747816,21842407.67,125.664885435139
2022,"전남",67490434.2344134,34671286.22,194.6580054924
2022,"경북",95399156.9553937,44609039.81,213.856109348509
2022,"경남",41037732.7094334,36197479.49,113.371796289768
2022,"제주",8740626.24260901,6046460.26,144.557739020169
2021,"서울",6233976.62035883,47304303.94,13.1784554493517
2021,"부산",40955792.5024183,21071629.42,194.364620248804
2021,"대구",3145568.02007972,15446710.14,20.3639997874636
2021,"인천",62533250.4415015,24905726.41,251.079809566982
2021,"광주",1044977.68109641,8975080.34,11.6431011368129
2021,"대전",420137.070286293,9750371.03,4.3089341830543
2021,"울산",11831915.9298403,33599186.3,35.2148883136504
2021,"세종",3967174.94760108,4296156.89,92.3424132120343
2021,"경기",85835320.980236,133469927.24,64.3106074568322
2021,"강원",49114534.8876714,16810990.55,292.157292823363
2021,"충북",5225222.07891724,28407147.25,18.3940401791568
2021,"충남",118823436.642665,48810412.2,243.438707617932
2021,"전북",25341061.7827015,21490728.1,117.916255162623
2021,"전남",65339277.4150043,33492911.36,195.083899135259
2021,"경북",86095832.2068634,44266257.19,194.495395979204
2021,"경남",37213587.6424234,35740501.9,104.121614594403
2021,"제주",7954108.01555851,5688744.72,139.821848352487
2020,"서울",5891304.3062585,45796183.69,12.8641817539589
2020,"부산",41068602.9151377,20507702.35,200.259406023307
2020,"대구",2877040.7660368,14761191.42,19.4905728418282
2020,"인천",58575517.647115,23642824.71,247.751774018524
2020,"광주",967853.042562697,8532640.25,11.342949124835
2020,"대전",319612.562407614,9406902.24,3.39763882150873
2020,"울산",10858220.6560696,33163805.62,32.7411780797598
2020,"세종",3724844.72960014,3393831.71,109.753371642583
2020,"경기",76020559.8061839,124711420.76,60.9571756483162
2020,"강원",36016451.4312158,16122971.38,223.385941600647
2020,"충북",5412084.5383579,26906714.43,20.114252717246
2020,"충남",116861503.939266,50431785.39,231.721925043008
2020,"전북",21745332.5715446,20542673.76,105.854441469476
2020,"전남",58801959.0315682,30979528.8,189.809081381406
2020,"경북",89855023.9148496,41008984.94,219.110577953383
2020,"경남",33394889.3783776,34076179.12,98.0006862294531
2020,"제주",7347223.95969129,5374234.63,136.712005811538
2019,"서울",2511071.26274961,47175711.03,5.32280533334784
2019,"부산",38025047.1564541,20806163.04,182.758575347846
2019,"대구",3117737.67201216,15268340.83,20.4196232369026
2019,"인천",61076876.357033,24285103.09,251.499349748212
2019,"광주",829940.607025675,8604827.66,9.64505786540848
2019,"대전",265979.730495061,9417415.76,2.82433883427763
2019,"울산",11781957.7814961,34145145.02,34.5055139598764
2019,"세종",2578910.34756809,3226755.13,79.9227162790036
2019,"경기",73790903.4160131,123044434.71,59.9709394333265
2019,"강원",35140727.7886835,16371202.1,214.649648657648
2019,"충북",3620428.48046307,26737137.4,13.5408231116884
2019,"충남",128985450.504236,52654324.91,244.966487984997
2019,"전북",16508083.4904744,22284696.57,74.078116516506
2019,"전남",68293789.6209871,32391154.94,210.840859943067
2019,"경북",94207535.1487142,44322732.47,212.549023714815
2019,"경남",42487910.1878099,34478239.85,123.231088282512
2019,"제주",7818231.05276839,5375269.7,145.44816333157
